date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2010094,0,0,3,-65.75,142.68,0,0,0
2010095,1,4.786,3,-65.718,142.75,0,0,0
2010096,1,4.226,3,-65.686,142.801,0,0,0
2010097,1,3.832,3,-65.655,142.835,0,0,0
2010098,1,3.621,3,-65.623,142.855,0,0,0
2010099,1,3.497,3,-65.592,142.866,0,0,0
2010100,1,3.446,3,-65.561,142.869,0,0,0
2010101,1,3.419,3,-65.53,142.87,0,0,0
2010102,1,4.7,3,-65.496,142.81,0,0,0
2010103,1,8.562,3,-65.457,142.649,0,0,0
2010104,1,11.518,3,-65.417,142.419,0,0,0
2010105,1,13.165,3,-65.38,142.148,0,0,0
2010106,1,13.41,3,-65.349,141.868,0,0,0
2010107,1,12.244,3,-65.328,141.609,0,0,0
2010108,1,9.707,3,-65.32,141.4,0,0,0
2010109,1,7.546,3,-65.32,141.237,0,0,0
2010110,1,6.805,3,-65.32,141.09,0,0,0
2010111,1,6.355,3,-65.32,140.953,0,0,0
2010112,1,6.216,3,-65.32,140.819,0,0,0
2010113,1,6.378,3,-65.32,140.682,0,0,0
2010114,1,6.837,3,-65.32,140.534,0,0,0
2010115,1,7.606,3,-65.32,140.37,0,0,0
2010116,1,8.692,3,-65.323,140.183,0,0,0
2010117,1,9.694,3,-65.33,139.974,0,0,0
2010118,1,10.356,3,-65.34,139.752,0,0,0
2010119,1,10.661,3,-65.35,139.523,0,0,0
2010120,1,10.615,3,-65.36,139.295,0,0,0
2010121,1,10.216,3,-65.367,139.075,0,0,0
2010122,1,9.481,3,-65.37,138.87,0,0,0
2010123,1,8.614,3,-65.365,138.684,0,0,0
2010124,1,8.141,3,-65.349,138.512,0,0,0
2010125,1,8.056,3,-65.327,138.347,0,0,0
2010126,1,8.27,3,-65.298,138.182,0,0,0
2010127,1,8.721,3,-65.266,138.01,0,0,0
2010128,1,9.368,3,-65.233,137.825,0,0,0
2010129,1,10.232,3,-65.2,137.62,0,0,0
2010130,1,12.32,3,-65.161,137.372,0,0,0
2010131,1,14.748,3,-65.112,137.079,0,0,0
2010132,1,16.081,3,-65.057,136.761,0,0,0
2010133,1,16.299,3,-65.001,136.439,0,0,0
2010134,1,15.402,3,-64.948,136.136,0,0,0
2010135,1,13.378,3,-64.903,135.873,0,0,0
2010136,1,10.212,3,-64.87,135.67,0,0,0
2010137,1,7.501,3,-64.847,135.52,0,0,0
2010138,1,6.256,3,-64.829,135.395,0,0,0
2010139,1,5.433,3,-64.813,135.286,0,0,0
2010140,1,5.024,3,-64.798,135.186,0,0,0
2010141,1,5.023,3,-64.784,135.085,0,0,0
2010142,1,5.448,3,-64.768,134.976,0,0,0
2010143,1,6.288,3,-64.75,134.85,0,0,0
2010144,1,7.509,3,-64.726,134.702,0,0,0
2010145,1,8.539,3,-64.696,134.536,0,0,0
2010146,1,9.097,3,-64.663,134.36,0,0,0
2010147,1,9.191,3,-64.632,134.181,0,0,0
2010148,1,8.818,3,-64.606,134.007,0,0,0
2010149,1,8.021,3,-64.587,133.844,0,0,0
2010150,1,6.896,3,-64.58,133.7,0,0,0
2010151,1,5.965,3,-64.584,133.575,0,0,0
2010152,1,5.532,3,-64.594,133.461,0,0,0
2010153,1,5.308,3,-64.608,133.355,0,0,0
2010154,1,5.255,3,-64.625,133.252,0,0,0
2010155,1,5.307,3,-64.644,133.15,0,0,0
2010156,1,5.462,3,-64.663,133.044,0,0,0
2010157,1,5.716,3,-64.68,132.93,0,0,0
2010158,1,6.507,3,-64.697,132.799,0,0,0
2010159,1,7.376,3,-64.717,132.65,0,0,0
2010160,1,7.694,3,-64.738,132.495,0,0,0
2010161,1,7.47,3,-64.757,132.345,0,0,0
2010162,1,6.702,3,-64.776,132.21,0,0,0
2010163,1,5.386,3,-64.79,132.101,0,0,0
2010164,1,3.533,3,-64.8,132.03,0,0,0
2010165,1,2.24,3,-64.807,131.985,0,0,0
2010166,1,1.91,3,-64.813,131.948,0,0,0
2010167,1,1.63,3,-64.819,131.916,0,0,0
2010168,1,1.395,3,-64.823,131.888,0,0,0
2010169,1,1.219,3,-64.827,131.864,0,0,0
2010170,1,1.083,3,-64.829,131.842,0,0,0
2010171,1,1.028,3,-64.83,131.82,0,0,0
2010172,1,1.026,3,-64.826,131.801,0,0,0
2010173,1,1.46,3,-64.814,131.786,0,0,0
2010174,1,1.836,3,-64.799,131.773,0,0,0
2010175,1,1.985,3,-64.781,131.76,0,0,0
2010176,1,1.873,3,-64.766,131.745,0,0,0
2010177,1,1.57,3,-64.754,131.726,0,0,0
2010178,1,1.307,3,-64.75,131.7,0,0,0
2010179,1,2.364,3,-64.751,131.65,0,0,0
2010180,1,3.996,3,-64.752,131.566,0,0,0
2010181,1,5.155,3,-64.755,131.457,0,0,0
2010182,1,5.829,3,-64.758,131.334,0,0,0
2010183,1,6.036,3,-64.762,131.207,0,0,0
2010184,1,5.763,3,-64.766,131.086,0,0,0
2010185,1,5.018,3,-64.77,130.98,0,0,0
2010186,1,4.433,3,-64.775,130.887,0,0,0
2010187,1,4.334,3,-64.781,130.797,0,0,0
2010188,1,4.25,3,-64.788,130.708,0,0,0
2010189,1,4.178,3,-64.796,130.622,0,0,0
2010190,1,4.117,3,-64.804,130.537,0,0,0
2010191,1,4.063,3,-64.812,130.453,0,0,0
2010192,1,4.016,3,-64.82,130.37,0,0,0
2010193,1,4.348,3,-64.829,130.28,0,0,0
2010194,1,4.797,3,-64.84,130.182,0,0,0
2010195,1,4.876,3,-64.851,130.082,0,0,0
2010196,1,4.578,3,-64.862,129.989,0,0,0
2010197,1,3.903,3,-64.871,129.909,0,0,0
2010198,1,2.854,3,-64.878,129.85,0,0,0
2010199,1,1.439,3,-64.88,129.82,0,0,0
2010200,1,0.504,3,-64.88,129.809,0,0,0
2010201,1,0.325,3,-64.88,129.802,0,0,0
2010202,1,0.226,3,-64.88,129.798,0,0,0
2010203,1,0.189,3,-64.88,129.794,0,0,0
2010204,1,0.231,3,-64.88,129.789,0,0,0
2010205,1,0.349,3,-64.88,129.781,0,0,0
2010206,1,0.533,3,-64.88,129.77,0,0,0
2010207,1,3.537,3,-64.888,129.697,0,0,0
2010208,1,8.319,3,-64.909,129.528,0,0,0
2010209,1,11.57,3,-64.94,129.293,0,0,0
2010210,1,13.258,3,-64.976,129.024,0,0,0
2010211,1,13.421,3,-65.012,128.751,0,0,0
2010212,1,12.045,3,-65.045,128.506,0,0,0
2010213,1,9.143,3,-65.07,128.32,0,0,0
2010214,1,6.913,3,-65.091,128.181,0,0,0
2010215,1,6.406,3,-65.112,128.053,0,0,0
2010216,1,5.936,3,-65.133,127.936,0,0,0
2010217,1,5.481,3,-65.151,127.827,0,0,0
2010218,1,5.071,3,-65.166,127.725,0,0,0
2010219,1,4.719,3,-65.176,127.626,0,0,0
2010220,1,4.497,3,-65.18,127.53,0,0,0
2010221,1,4.768,3,-65.179,127.428,0,0,0
2010222,1,5.138,3,-65.178,127.318,0,0,0
2010223,1,5.103,3,-65.176,127.208,0,0,0
2010224,1,4.667,3,-65.174,127.108,0,0,0
2010225,1,3.833,3,-65.172,127.026,0,0,0
2010226,1,2.596,3,-65.171,126.97,0,0,0
2010227,1,0.953,3,-65.17,126.95,0,0,0
2010228,1,0.067,3,-65.171,126.95,0,0,0
2010229,1,0.155,3,-65.172,126.95,0,0,0
2010230,1,0.211,3,-65.174,126.95,0,0,0
2010231,1,0.244,3,-65.176,126.95,0,0,0
2010232,1,0.211,3,-65.178,126.95,0,0,0
2010233,1,0.155,3,-65.179,126.95,0,0,0
2010234,1,0.067,3,-65.18,126.95,0,0,0
2010235,1,0.823,3,-65.178,126.933,0,0,0
2010236,1,2.212,3,-65.174,126.886,0,0,0
2010237,1,3.246,3,-65.168,126.818,0,0,0
2010238,1,3.903,3,-65.162,126.736,0,0,0
2010239,1,4.193,3,-65.156,126.647,0,0,0
2010240,1,4.127,3,-65.152,126.559,0,0,0
2010241,1,3.7,3,-65.15,126.48,0,0,0
2010242,1,3.875,3,-65.158,126.399,0,0,0
2010243,1,4.919,3,-65.18,126.307,0,0,0
2010244,1,5.548,3,-65.209,126.21,0,0,0
2010245,1,5.612,3,-65.241,126.117,0,0,0
2010246,1,5.038,3,-65.27,126.034,0,0,0
2010247,1,3.833,3,-65.292,125.969,0,0,0
2010248,1,2.047,3,-65.3,125.93,0,0,0
2010249,1,1.379,3,-65.292,125.908,0,0,0
2010250,1,2.526,3,-65.27,125.889,0,0,0
2010251,1,3.33,3,-65.241,125.874,0,0,0
2010252,1,3.604,3,-65.209,125.861,0,0,0
2010253,1,3.294,3,-65.18,125.85,0,0,0
2010254,1,2.422,3,-65.158,125.84,0,0,0
2010255,1,1.024,3,-65.15,125.83,0,0,0
2010256,1,0.473,3,-65.151,125.82,0,0,0
2010257,1,0.559,3,-65.154,125.81,0,0,0
2010258,1,0.616,3,-65.158,125.801,0,0,0
2010259,1,0.606,3,-65.162,125.793,0,0,0
2010260,1,0.534,3,-65.166,125.786,0,0,0
2010261,1,0.382,3,-65.169,125.782,0,0,0
2010262,1,0.143,3,-65.17,125.78,0,0,0
2010263,1,0.051,3,-65.17,125.781,0,0,0
2010264,1,0.135,3,-65.17,125.784,0,0,0
2010265,1,0.182,3,-65.17,125.788,0,0,0
2010266,1,0.196,3,-65.17,125.792,0,0,0
2010267,1,0.182,3,-65.17,125.796,0,0,0
2010268,1,0.135,3,-65.17,125.799,0,0,0
2010269,1,0.051,3,-65.17,125.8,0,0,0
2010270,1,0,3,-65.17,125.8,0,0,0
2010271,1,0,3,-65.17,125.8,0,0,0
2010272,1,0,3,-65.17,125.8,0,0,0
2010273,1,0,3,-65.17,125.8,0,0,0
2010274,1,0,3,-65.17,125.8,0,0,0
2010275,1,0,3,-65.17,125.8,0,0,0
2010276,1,0,3,-65.17,125.8,0,0,0
2010277,1,0.496,3,-65.167,125.808,0,0,0
2010278,1,1.272,3,-65.16,125.83,0,0,0
2010279,1,1.747,3,-65.15,125.859,0,0,0
2010280,1,1.901,3,-65.14,125.891,0,0,0
2010281,1,1.748,3,-65.13,125.92,0,0,0
2010282,1,1.273,3,-65.123,125.942,0,0,0
2010283,1,0.497,3,-65.12,125.95,0,0,0
2010284,1,0.649,3,-65.123,125.938,0,0,0
2010285,1,1.665,3,-65.13,125.906,0,0,0
2010286,1,2.283,3,-65.14,125.863,0,0,0
2010287,1,2.481,3,-65.15,125.817,0,0,0
2010288,1,2.282,3,-65.16,125.774,0,0,0
2010289,1,1.663,3,-65.167,125.742,0,0,0
2010290,1,0.648,3,-65.17,125.73,0,0,0
2010291,1,0.186,3,-65.169,125.732,0,0,0
2010292,1,0.508,3,-65.165,125.738,0,0,0
2010293,1,0.74,3,-65.159,125.746,0,0,0
2010294,1,0.865,3,-65.152,125.754,0,0,0
2010295,1,0.919,3,-65.144,125.762,0,0,0
2010296,1,0.874,3,-65.137,125.768,0,0,0
2010297,1,0.773,3,-65.13,125.77,0,0,0
